"","ID","age","job","marital","education","default","balance","housing","loan","contact","day","month","campaign","pdays","previous","poutcome","y"
"30",37773,38,"blue-collar","married","primary","no",132,"yes","no","cellular",14,"may",2,-1,0,"unknown","no"
"31",33326,42,"entrepreneur","single","secondary","no",1049,"yes","yes","cellular",20,"apr",1,-1,0,"unknown","no"
"32",36644,38,"blue-collar","married","primary","no",4592,"yes","no","cellular",12,"may",1,-1,0,"unknown","no"
"33",17535,59,"management","married","secondary","no",-1246,"no","no","telephone",29,"jul",2,-1,0,"unknown","no"
"34",30955,36,"unemployed","single","secondary","no",115,"no","no","cellular",9,"feb",2,-1,0,"unknown","no"
"35",179,54,"services","married","secondary","no",214,"yes","no","unknown",5,"may",2,-1,0,"unknown","no"
"36",37628,28,"student","single","tertiary","no",170,"no","no","telephone",14,"may",5,-1,0,"unknown","no"
"37",332,42,"blue-collar","married","unknown","no",57,"yes","no","unknown",5,"may",2,-1,0,"unknown","no"
"38",9381,26,"technician","single","secondary","no",639,"yes","no","unknown",6,"jun",5,-1,0,"unknown","yes"
"39",40954,52,"technician","married","tertiary","no",1785,"no","no","cellular",13,"aug",1,-1,0,"unknown","no"
"40",27636,41,"management","married","tertiary","no",4063,"yes","no","cellular",21,"nov",2,-1,0,"unknown","no"
"41",17146,25,"admin.","single","secondary","no",300,"yes","yes","cellular",28,"jul",0,-1,0,"unknown","no"
"42",19684,36,"technician","single","secondary","no",651,"no","no","cellular",7,"aug",1,-1,0,"unknown","yes"
"43",1691,32,"blue-collar","divorced","secondary","no",739,"yes","no","unknown",9,"may",1,-1,0,"unknown","no"
"44",43973,25,"student","single","secondary","no",1957,"no","no","cellular",24,"jun",4,385,1,"failure","yes"
"45",19501,36,"management","single","tertiary","no",5340,"yes","no","cellular",7,"aug",4,-1,0,"unknown","no"
"46",43250,31,"management","single","tertiary","no",147,"no","no","cellular",9,"mar",1,181,2,"success","yes"
"47",40096,24,"unemployed","single","secondary","no",572,"no","no","cellular",4,"jun",3,-1,0,"unknown","no"
"48",28905,26,"services","single","secondary","no",110,"no","no","cellular",30,"jan",2,-1,0,"unknown","yes"
"49",43852,31,"management","single","tertiary","no",515,"no","no","cellular",1,"jun",5,-1,0,"unknown","yes"
"50",27948,32,"blue-collar","single","secondary","no",2746,"no","no","cellular",28,"jan",1,-1,0,"unknown","no"
"51",15058,31,"technician","single","unknown","no",187,"no","no","cellular",17,"jul",1,-1,0,"unknown","no"
"52",15660,56,"retired","divorced","tertiary","no",158,"no","yes","cellular",21,"jul",1,-1,0,"unknown","yes"
"53",17996,58,"management","married","secondary","no",2739,"yes","no","cellular",30,"jul",6,-1,0,"unknown","no"
"54",35436,40,"unemployed","divorced","secondary","no",193,"yes","no","cellular",7,"may",1,357,1,"failure","no"
"55",1759,33,"technician","divorced","secondary","yes",-305,"no","yes","unknown",9,"may",1,-1,0,"unknown","no"
"56",33813,36,"admin.","married","secondary","no",0,"yes","no","cellular",24,"apr",2,-1,0,"unknown","no"
"57",30583,49,"entrepreneur","divorced","tertiary","no",1145,"yes","yes","cellular",6,"feb",4,-1,0,"unknown","no"
"58",7734,24,"technician","single","secondary","no",278,"yes","no","unknown",30,"may",1,-1,0,"unknown","no"
"59",11789,36,"management","married","tertiary","no",1355,"yes","no","unknown",20,"jun",8,-1,0,"unknown","no"
"60",23227,31,"management","single","secondary","no",36,"no","no","cellular",27,"aug",2,-1,0,"unknown","no"
"61",30505,38,"housemaid","married","secondary","no",333,"yes","no","cellular",5,"feb",2,202,1,"other","no"
"62",44375,43,"technician","married","unknown","no",240,"yes","no","cellular",2,"aug",3,277,1,"success","yes"
"63",34293,35,"services","married","secondary","no",17,"yes","no","cellular",4,"may",4,-1,0,"unknown","no"
"64",25576,49,"technician","divorced","secondary","no",342,"no","yes","cellular",19,"nov",3,-1,0,"unknown","no"
"65",38361,58,"blue-collar","married","primary","no",781,"yes","no","cellular",15,"may",2,-1,0,"unknown","no"
"66",8554,39,"blue-collar","married","secondary","no",203,"yes","no","unknown",3,"jun",1,-1,0,"unknown","no"
"67",12248,36,"unemployed","married","tertiary","no",4145,"no","no","unknown",20,"jun",4,-1,0,"unknown","yes"
"68",37387,33,"entrepreneur","single","tertiary","no",1481,"yes","no","cellular",13,"may",3,173,1,"other","no"
"69",31294,29,"management","married","tertiary","no",2351,"no","no","cellular",10,"mar",1,-1,0,"unknown","yes"
"70",10859,47,"technician","divorced","secondary","no",431,"no","yes","unknown",17,"jun",9,-1,0,"unknown","no"
"71",1941,46,"blue-collar","married","primary","no",881,"yes","no","unknown",9,"may",2,-1,0,"unknown","no"
"72",6342,51,"technician","married","secondary","no",-1042,"yes","no","unknown",27,"may",2,-1,0,"unknown","no"
"73",9768,37,"admin.","married","secondary","yes",0,"no","no","unknown",9,"jun",1,-1,0,"unknown","no"
"74",21640,52,"management","married","tertiary","no",3228,"no","no","cellular",19,"aug",2,-1,0,"unknown","no"
"75",8911,26,"blue-collar","single","primary","no",3342,"yes","no","unknown",4,"jun",4,-1,0,"unknown","no"
"76",32469,35,"blue-collar","married","secondary","no",126,"yes","no","cellular",16,"apr",1,-1,0,"unknown","no"
"77",356,31,"admin.","single","secondary","no",12,"yes","no","unknown",5,"may",2,-1,0,"unknown","no"
"78",16948,33,"management","married","primary","no",91,"no","yes","cellular",25,"jul",3,-1,0,"unknown","no"
"79",23217,47,"admin.","married","secondary","no",1647,"no","no","cellular",27,"aug",13,-1,0,"unknown","no"
"80",71,57,"blue-collar","married","secondary","no",5935,"yes","yes","unknown",5,"may",1,-1,0,"unknown","no"
"81",26249,39,"blue-collar","married","secondary","no",660,"yes","yes","cellular",20,"nov",1,185,2,"failure","no"
"82",7127,39,"technician","divorced","secondary","no",394,"yes","no","unknown",29,"may",1,-1,0,"unknown","no"
"83",16203,35,"management","single","secondary","no",1031,"yes","no","cellular",22,"jul",1,-1,0,"unknown","no"
"84",29137,26,"management","single","tertiary","no",0,"no","yes","cellular",2,"feb",1,199,1,"failure","no"
"85",35011,49,"services","married","primary","no",0,"yes","no","cellular",6,"may",2,166,3,"failure","yes"
"86",25436,34,"entrepreneur","married","secondary","no",1368,"yes","no","cellular",18,"nov",2,-1,0,"unknown","no"
"87",10546,51,"admin.","married","secondary","no",924,"yes","no","unknown",16,"jun",3,-1,0,"unknown","no"
"88",4061,26,"technician","divorced","secondary","no",379,"yes","yes","unknown",19,"may",3,-1,0,"unknown","no"
"89",3864,44,"blue-collar","divorced","unknown","no",532,"no","no","unknown",16,"may",2,-1,0,"unknown","no"
"90",13773,38,"technician","married","secondary","no",-475,"yes","no","cellular",10,"jul",1,-1,0,"unknown","no"
"91",30115,42,"technician","single","tertiary","no",3908,"yes","no","telephone",4,"feb",5,-1,0,"unknown","no"
"92",11,60,"admin.","divorced","secondary","no",270,"yes","no","unknown",5,"may",1,-1,0,"unknown","no"
"93",9411,53,"retired","married","primary","no",2010,"no","yes","unknown",6,"jun",1,-1,0,"unknown","no"
"94",42097,57,"management","married","tertiary","no",1832,"yes","no","cellular",2,"nov",2,-1,0,"unknown","no"
"95",41763,31,"admin.","married","tertiary","no",80,"yes","yes","cellular",13,"oct",1,-1,0,"unknown","no"
"96",33120,34,"admin.","married","secondary","no",-314,"yes","yes","cellular",20,"apr",3,307,3,"other","no"
"97",15027,36,"management","married","tertiary","no",-633,"yes","no","cellular",17,"jul",1,-1,0,"unknown","no"
"98",23237,41,"admin.","married","secondary","no",35,"no","no","cellular",27,"aug",4,-1,0,"unknown","no"
"99",33563,33,"services","divorced","secondary","no",2358,"yes","no","cellular",20,"apr",3,-1,0,"unknown","no"
"100",27932,40,"technician","married","secondary","no",529,"no","yes","cellular",28,"jan",1,-1,0,"unknown","no"
"101",28251,34,"management","married","tertiary","no",303,"yes","no","cellular",29,"jan",1,195,2,"failure","no"
"102",9796,58,"retired","married","secondary","no",630,"no","no","unknown",9,"jun",2,-1,0,"unknown","no"
"103",9770,40,"blue-collar","single","primary","no",397,"no","no","unknown",9,"jun",1,-1,0,"unknown","no"
"104",17545,44,"management","single","primary","no",4,"no","no","cellular",29,"jul",3,-1,0,"unknown","no"
"105",42512,28,"blue-collar","single","secondary","no",1705,"no","no","cellular",17,"dec",2,-1,0,"unknown","yes"
"106",43420,50,"unemployed","married","tertiary","no",377,"no","no","cellular",6,"apr",1,319,3,"failure","no"
"107",33372,35,"admin.","single","secondary","no",424,"yes","no","cellular",20,"apr",4,-1,0,"unknown","no"
"108",33073,21,"blue-collar","single","secondary","no",1385,"yes","no","cellular",20,"apr",5,-1,0,"unknown","no"
"109",24165,26,"management","married","tertiary","no",52,"no","yes","telephone",12,"nov",1,-1,0,"unknown","no"
"110",103,47,"blue-collar","married","primary","no",128,"yes","no","unknown",5,"may",1,-1,0,"unknown","no"
"111",27464,32,"self-employed","married","tertiary","no",14522,"no","no","cellular",21,"nov",7,-1,0,"unknown","no"
"112",37740,34,"management","divorced","tertiary","no",541,"yes","no","cellular",14,"may",1,363,2,"other","no"
"113",33893,27,"management","single","tertiary","no",828,"no","no","cellular",30,"apr",1,-1,0,"unknown","no"
"114",20418,38,"admin.","married","secondary","no",1535,"no","no","cellular",12,"aug",2,-1,0,"unknown","no"
"115",24163,22,"technician","single","secondary","no",333,"no","yes","telephone",12,"nov",1,-1,0,"unknown","no"
"116",24234,50,"management","married","tertiary","no",4278,"no","no","cellular",17,"nov",1,-1,0,"unknown","no"
"117",63,57,"blue-collar","married","primary","no",249,"yes","no","unknown",5,"may",1,-1,0,"unknown","no"
"118",16039,55,"technician","married","tertiary","no",255,"no","no","cellular",22,"jul",1,-1,0,"unknown","no"
"119",27603,37,"management","single","tertiary","no",22125,"no","yes","cellular",21,"nov",2,-1,0,"unknown","yes"
"120",37379,55,"management","married","primary","no",1691,"yes","no","cellular",13,"may",2,174,1,"failure","no"
"121",16085,26,"student","single","secondary","no",141,"no","no","cellular",22,"jul",1,-1,0,"unknown","no"
"122",18516,60,"blue-collar","married","primary","no",0,"no","no","cellular",31,"jul",4,-1,0,"unknown","no"
"123",25858,53,"management","married","tertiary","no",7249,"yes","yes","cellular",19,"nov",1,-1,0,"unknown","no"
"124",26588,30,"services","married","secondary","no",10667,"no","no","cellular",20,"nov",1,-1,0,"unknown","no"
"125",32448,66,"retired","married","tertiary","no",525,"no","no","telephone",16,"apr",1,-1,0,"unknown","no"
"126",17808,35,"management","married","tertiary","no",0,"yes","no","telephone",29,"jul",12,-1,0,"unknown","no"
"127",41443,51,"housemaid","married","primary","no",339,"no","no","cellular",4,"sep",1,-1,0,"unknown","no"
"128",43397,46,"management","married","unknown","no",2466,"no","no","telephone",1,"apr",3,370,1,"failure","yes"
"129",10528,41,"management","single","unknown","no",1604,"no","no","unknown",16,"jun",2,-1,0,"unknown","no"
"130",32662,53,"services","married","secondary","no",197,"yes","no","cellular",17,"apr",1,-1,0,"unknown","no"
"131",40737,18,"student","single","primary","no",1944,"no","no","telephone",10,"aug",3,-1,0,"unknown","no"
"132",27205,35,"entrepreneur","married","secondary","no",2971,"no","no","cellular",21,"nov",2,-1,0,"unknown","no"
"133",28468,28,"technician","single","secondary","no",250,"no","yes","cellular",29,"jan",1,-1,0,"unknown","no"
"134",42256,39,"student","single","unknown","no",64,"no","no","cellular",12,"nov",2,98,1,"failure","no"
"135",38338,33,"blue-collar","married","secondary","no",83,"yes","no","cellular",15,"may",1,-1,0,"unknown","no"
"136",26137,41,"technician","single","tertiary","no",0,"yes","no","cellular",19,"nov",6,-1,0,"unknown","no"
"137",37025,30,"blue-collar","married","secondary","no",944,"no","no","cellular",13,"may",2,362,1,"other","no"
"138",5126,31,"management","married","tertiary","no",4924,"yes","no","unknown",21,"may",2,-1,0,"unknown","no"
"139",34459,40,"management","married","tertiary","no",710,"yes","no","cellular",5,"may",1,298,2,"failure","no"
"140",28108,55,"unemployed","married","secondary","no",1161,"yes","no","cellular",28,"jan",2,-1,0,"unknown","no"
"141",6691,33,"blue-collar","single","secondary","no",855,"no","no","unknown",28,"may",5,-1,0,"unknown","no"
"142",3618,32,"admin.","single","secondary","no",289,"no","no","unknown",15,"may",12,-1,0,"unknown","no"
"143",20916,44,"management","divorced","tertiary","no",3321,"no","no","cellular",13,"aug",3,-1,0,"unknown","no"
"144",35125,31,"management","married","tertiary","no",-692,"yes","yes","cellular",6,"may",2,-1,0,"unknown","no"
"145",33058,59,"management","married","tertiary","no",82,"yes","no","cellular",17,"apr",4,-1,0,"unknown","no"
"146",36830,50,"blue-collar","married","secondary","no",802,"yes","yes","cellular",12,"may",2,-1,0,"unknown","yes"
"147",7669,42,"unemployed","divorced","secondary","no",1713,"yes","no","unknown",30,"may",2,-1,0,"unknown","yes"
"148",42573,44,"management","married","unknown","no",2724,"no","no","cellular",28,"dec",1,-1,0,"unknown","yes"
"149",13232,28,"management","single","tertiary","no",882,"no","yes","cellular",8,"jul",2,-1,0,"unknown","no"
"150",6718,28,"services","single","secondary","no",40,"yes","no","unknown",28,"may",2,-1,0,"unknown","no"
"151",32416,36,"technician","married","primary","no",3350,"yes","no","cellular",16,"apr",1,269,3,"other","no"
"152",14604,53,"retired","married","secondary","no",1278,"yes","no","telephone",15,"jul",3,-1,0,"unknown","no"
"153",35093,38,"management","single","tertiary","no",427,"yes","no","cellular",6,"may",3,169,2,"failure","no"
"154",17773,34,"blue-collar","single","primary","no",326,"yes","no","cellular",29,"jul",2,-1,0,"unknown","no"
"155",30576,33,"admin.","divorced","secondary","no",420,"yes","no","telephone",6,"feb",2,-1,0,"unknown","no"
"156",34956,29,"technician","single","tertiary","no",183,"yes","yes","cellular",6,"may",1,343,2,"failure","no"
"157",8465,35,"blue-collar","married","secondary","no",412,"yes","no","unknown",3,"jun",1,-1,0,"unknown","no"
"158",1311,36,"blue-collar","married","primary","no",250,"yes","no","unknown",8,"may",1,-1,0,"unknown","no"
"159",6115,36,"services","single","secondary","no",203,"yes","no","unknown",27,"may",5,-1,0,"unknown","no"
"160",30643,59,"retired","married","primary","no",3000,"no","yes","cellular",6,"feb",1,-1,0,"unknown","no"
"161",42115,35,"technician","married","secondary","no",580,"yes","no","cellular",2,"nov",2,171,1,"failure","no"
"162",24800,47,"unemployed","single","secondary","no",4819,"no","no","cellular",18,"nov",1,-1,0,"unknown","no"
"163",27109,51,"blue-collar","married","secondary","no",8486,"yes","yes","cellular",21,"nov",10,-1,0,"unknown","no"
"164",8875,44,"blue-collar","married","secondary","no",406,"yes","no","unknown",4,"jun",1,-1,0,"unknown","no"
"165",24111,36,"entrepreneur","married","tertiary","no",6,"no","no","telephone",30,"oct",1,-1,0,"unknown","no"
"166",8089,30,"blue-collar","married","primary","no",4,"yes","no","unknown",2,"jun",1,-1,0,"unknown","no"
"167",20356,47,"retired","married","secondary","no",-71,"yes","no","cellular",11,"aug",5,-1,0,"unknown","no"
"168",14282,54,"management","divorced","tertiary","no",481,"yes","no","telephone",14,"jul",3,-1,0,"unknown","no"
"169",5233,32,"technician","married","secondary","no",587,"yes","no","unknown",23,"may",1,-1,0,"unknown","no"
"170",8383,33,"services","married","secondary","no",34,"yes","yes","unknown",3,"jun",1,-1,0,"unknown","no"
"171",32868,30,"blue-collar","married","secondary","no",658,"yes","no","cellular",17,"apr",3,267,1,"failure","no"
"172",18551,53,"blue-collar","married","secondary","no",0,"no","no","telephone",31,"jul",4,-1,0,"unknown","no"
"173",18649,44,"blue-collar","divorced","secondary","no",3258,"no","no","cellular",31,"jul",6,-1,0,"unknown","no"
"174",21633,31,"management","single","tertiary","no",0,"no","no","cellular",19,"aug",4,-1,0,"unknown","no"
"175",19254,60,"retired","married","secondary","no",1145,"no","no","cellular",6,"aug",2,-1,0,"unknown","no"
"176",6147,37,"services","married","secondary","no",-24,"yes","no","unknown",27,"may",1,-1,0,"unknown","no"
"177",37140,35,"blue-collar","married","secondary","no",323,"yes","no","cellular",13,"may",1,-1,0,"unknown","no"
"178",26674,33,"blue-collar","single","unknown","no",129,"yes","yes","cellular",20,"nov",1,-1,0,"unknown","no"
"179",35775,33,"blue-collar","single","secondary","no",1925,"yes","no","cellular",8,"may",2,67,2,"failure","no"
"180",34632,33,"technician","divorced","secondary","no",1480,"yes","no","cellular",5,"may",1,-1,0,"unknown","no"
"181",41341,39,"blue-collar","single","primary","no",24277,"no","no","cellular",28,"aug",1,-1,0,"unknown","yes"
"182",38845,22,"services","single","secondary","no",344,"yes","no","cellular",18,"may",1,-1,0,"unknown","yes"
"183",14274,40,"services","married","secondary","no",900,"yes","yes","cellular",14,"jul",2,-1,0,"unknown","no"
"184",11674,28,"blue-collar","married","primary","no",103,"yes","no","unknown",20,"jun",0,-1,0,"unknown","no"
"185",33423,34,"management","married","tertiary","no",606,"no","no","cellular",20,"apr",1,-1,0,"unknown","yes"
"186",33651,41,"blue-collar","married","secondary","no",1384,"yes","no","cellular",20,"apr",4,340,4,"success","no"
"187",41329,34,"technician","single","tertiary","no",612,"no","no","cellular",28,"aug",1,95,1,"failure","no"
"188",35713,35,"blue-collar","married","secondary","no",156,"yes","no","cellular",8,"may",1,283,3,"failure","no"
"189",6003,46,"management","divorced","tertiary","no",25,"no","no","unknown",26,"may",2,-1,0,"unknown","no"
"190",12956,30,"technician","married","tertiary","no",101,"yes","yes","cellular",7,"jul",3,-1,0,"unknown","no"
"191",8765,28,"admin.","single","tertiary","no",4,"no","no","unknown",4,"jun",11,-1,0,"unknown","no"
"192",35301,31,"technician","single","secondary","no",77,"yes","no","cellular",7,"may",1,-1,0,"unknown","no"
"193",5802,33,"blue-collar","married","secondary","no",-110,"yes","no","unknown",26,"may",1,-1,0,"unknown","no"
"194",5812,28,"technician","married","secondary","no",930,"yes","yes","unknown",26,"may",1,-1,0,"unknown","no"
"195",3253,49,"admin.","married","secondary","no",1530,"yes","no","unknown",15,"may",1,-1,0,"unknown","no"
"196",2392,36,"admin.","married","secondary","no",-423,"yes","yes","unknown",13,"may",1,-1,0,"unknown","no"
"197",23943,32,"technician","married","secondary","no",4800,"yes","no","cellular",29,"aug",4,-1,0,"unknown","no"
"198",5056,30,"technician","single","tertiary","no",1289,"yes","no","unknown",21,"may",2,-1,0,"unknown","yes"
"199",33454,35,"technician","married","tertiary","no",703,"no","no","cellular",20,"apr",1,-1,0,"unknown","no"
"200",32918,37,"blue-collar","divorced","secondary","no",752,"yes","no","cellular",17,"apr",3,-1,0,"unknown","no"
"201",39841,47,"management","married","tertiary","no",2351,"no","no","cellular",2,"jun",2,84,1,"success","yes"
"202",23276,34,"technician","single","tertiary","no",-552,"yes","no","cellular",27,"aug",12,-1,0,"unknown","no"
"203",38345,35,"admin.","single","tertiary","no",1374,"yes","no","cellular",15,"may",1,-1,0,"unknown","no"
"204",19930,60,"retired","married","tertiary","no",815,"no","no","cellular",8,"aug",2,-1,0,"unknown","no"
"205",7106,31,"services","married","secondary","no",3181,"yes","no","unknown",29,"may",7,-1,0,"unknown","no"
"206",19908,32,"technician","married","primary","no",667,"no","no","cellular",8,"aug",0,-1,0,"unknown","no"
"207",43553,26,"unemployed","single","tertiary","no",77,"no","no","cellular",26,"apr",1,-1,0,"unknown","yes"
"208",21809,51,"technician","married","secondary","no",180,"yes","no","cellular",20,"aug",2,-1,0,"unknown","no"
"209",11362,38,"blue-collar","married","primary","no",10662,"no","no","unknown",19,"jun",1,-1,0,"unknown","no"
"210",11687,57,"entrepreneur","married","tertiary","no",0,"yes","yes","unknown",20,"jun",2,-1,0,"unknown","no"
"211",24392,48,"blue-collar","married","secondary","no",1039,"yes","no","cellular",17,"nov",1,-1,0,"unknown","no"
"212",29245,40,"services","divorced","secondary","no",840,"yes","no","cellular",2,"feb",1,-1,0,"unknown","yes"
"213",15139,35,"management","single","secondary","no",138,"yes","yes","cellular",17,"jul",1,-1,0,"unknown","no"
"214",2743,57,"services","single","secondary","no",2236,"yes","no","unknown",14,"may",2,-1,0,"unknown","no"
"215",20308,53,"management","divorced","secondary","no",112,"no","yes","cellular",11,"aug",3,-1,0,"unknown","no"
"216",37741,46,"blue-collar","married","secondary","no",431,"yes","no","cellular",14,"may",4,367,1,"failure","no"
"217",25856,31,"management","divorced","tertiary","no",26306,"yes","no","cellular",19,"nov",3,-1,0,"unknown","no"
"218",15899,51,"services","single","secondary","no",510,"no","no","telephone",22,"jul",4,-1,0,"unknown","no"
"219",24631,40,"management","married","tertiary","no",486,"yes","yes","cellular",17,"nov",2,-1,0,"unknown","no"
"220",40166,35,"management","married","tertiary","no",697,"no","no","cellular",5,"jun",2,304,1,"failure","no"
"221",22046,40,"technician","single","secondary","no",34,"no","no","cellular",20,"aug",3,-1,0,"unknown","no"
"222",7722,44,"admin.","married","secondary","no",734,"yes","no","unknown",30,"may",5,-1,0,"unknown","no"
"223",24431,37,"technician","married","secondary","no",344,"yes","yes","cellular",17,"nov",1,-1,0,"unknown","no"
"224",43255,34,"management","married","tertiary","no",158,"no","no","cellular",9,"mar",3,181,6,"success","yes"
"225",14112,33,"self-employed","married","tertiary","no",1249,"yes","no","cellular",11,"jul",2,-1,0,"unknown","no"
"226",36912,43,"blue-collar","married","unknown","no",245,"yes","yes","cellular",12,"may",4,369,2,"other","no"
"227",13813,35,"admin.","married","secondary","no",-428,"yes","yes","cellular",10,"jul",1,-1,0,"unknown","no"
"228",8343,52,"technician","married","secondary","no",930,"yes","no","unknown",2,"jun",16,-1,0,"unknown","no"
"229",2175,35,"management","single","tertiary","no",244,"yes","no","unknown",12,"may",1,-1,0,"unknown","no"
"230",11051,35,"blue-collar","married","secondary","no",331,"yes","no","unknown",17,"jun",3,-1,0,"unknown","no"
"231",15794,59,"management","married","secondary","no",966,"no","no","telephone",21,"jul",4,-1,0,"unknown","no"
"232",7153,34,"technician","divorced","tertiary","no",1242,"yes","no","unknown",29,"may",3,-1,0,"unknown","no"
"233",13679,45,"entrepreneur","married","unknown","no",73,"yes","no","cellular",9,"jul",1,-1,0,"unknown","no"
"234",790,59,"retired","married","secondary","no",836,"yes","no","unknown",7,"may",1,-1,0,"unknown","no"
"235",44822,67,"retired","married","secondary","no",2048,"no","no","cellular",16,"sep",5,195,4,"other","yes"
"236",36179,48,"services","divorced","secondary","no",457,"yes","no","cellular",11,"may",1,326,5,"other","no"
"237",3894,41,"management","divorced","tertiary","no",647,"yes","no","unknown",16,"may",1,-1,0,"unknown","no"
"238",39125,31,"services","single","unknown","no",919,"yes","no","cellular",18,"may",2,-1,0,"unknown","no"
"239",24942,34,"admin.","single","secondary","no",10,"no","yes","cellular",18,"nov",1,173,3,"failure","no"
"240",18951,32,"technician","married","secondary","no",12,"yes","yes","cellular",4,"aug",2,-1,0,"unknown","no"
"241",3042,47,"services","married","secondary","no",1549,"yes","no","unknown",14,"may",6,-1,0,"unknown","no"
"242",25248,36,"management","married","tertiary","no",549,"yes","no","cellular",18,"nov",2,-1,0,"unknown","no"
"243",3181,32,"management","single","tertiary","no",0,"yes","no","unknown",15,"may",4,-1,0,"unknown","no"
"244",9506,41,"admin.","divorced","secondary","no",762,"yes","no","unknown",6,"jun",4,-1,0,"unknown","no"
"245",24715,50,"technician","married","secondary","no",0,"yes","no","cellular",17,"nov",4,168,2,"failure","no"
"246",21673,45,"blue-collar","married","primary","no",0,"no","no","cellular",19,"aug",2,-1,0,"unknown","no"
"247",7171,26,"admin.","single","tertiary","no",3672,"yes","no","unknown",29,"may",5,-1,0,"unknown","no"
"248",6726,26,"technician","married","secondary","no",876,"yes","no","unknown",28,"may",1,-1,0,"unknown","no"
"249",22449,32,"self-employed","married","tertiary","no",3601,"no","no","cellular",22,"aug",15,-1,0,"unknown","no"
"250",42290,34,"management","married","tertiary","no",2599,"no","no","cellular",16,"nov",1,200,2,"success","no"
"251",15028,32,"management","married","tertiary","no",958,"yes","no","telephone",17,"jul",1,-1,0,"unknown","no"
"252",8473,36,"blue-collar","married","secondary","no",16402,"yes","no","unknown",3,"jun",3,-1,0,"unknown","no"
"253",12127,44,"admin.","married","secondary","no",961,"no","no","unknown",20,"jun",2,-1,0,"unknown","no"
"254",23862,33,"management","married","tertiary","no",310,"no","no","cellular",29,"aug",2,-1,0,"unknown","no"
"255",965,46,"blue-collar","married","primary","no",143,"yes","no","unknown",7,"may",1,-1,0,"unknown","no"
"256",35910,37,"management","single","tertiary","no",4543,"yes","no","cellular",8,"may",1,340,5,"failure","no"
"257",4961,41,"management","single","tertiary","no",1216,"yes","no","unknown",21,"may",3,-1,0,"unknown","no"
"258",24267,43,"technician","married","secondary","no",1865,"yes","no","cellular",17,"nov",1,186,1,"failure","no"
"259",25679,35,"self-employed","single","tertiary","no",538,"yes","yes","cellular",19,"nov",1,195,9,"failure","no"
